Pos,Team,GP,W,L,SW,GF,GA,GD,Pts,Qualification,Conference,Year,SL,D,Head-to-head,PPG
13.0,Chicago Fire FC,7,1,5,,4,11,−7,4,,Eastern Conference,2021,,1.0,,
14.0,FC Cincinnati,6,1,4,,6,15,−9,4,,Eastern Conference,2021,,1.0,,
1.0,Seattle Sounders FC,8,5,0,,14,3,+11,18,Qualification for the Playoffs Conference semifinalsand CONCACAF Champions League,Western Conference,2021,,3.0,,
2.0,Sporting Kansas City,8,5,2,,15,10,+5,16,Qualification for the Playoffs first round and Leagues Cup,Western Conference,2021,,1.0,,
3.0,LA Galaxy,7,5,2,,11,11,0,15,Qualification for the Playoffs first round and Leagues Cup,Western Conference,2021,,0.0,,
4.0,Colorado Rapids,7,4,2,,12,8,+4,13,Qualification for the Playoffs first round and Leagues Cup,Western Conference,2021,,1.0,,
5.0,Houston Dynamo FC,8,3,3,,11,12,−1,11,Qualification for the Playoffs first round and Leagues Cup,Western Conference,2021,,2.0,,
6.0,San Jose Earthquakes,8,3,5,,11,12,−1,9,Qualification for the Playoffs first round,Western Conference,2021,,0.0,,
7.0,Portland Timbers,7,3,4,,9,11,−2,9,Qualification for the Playoffs first round,Western Conference,2021,,0.0,,
8.0,Real Salt Lake,6,2,1,,9,7,+2,9,,Western Conference,2021,,3.0,,
9.0,Los Angeles FC,7,2,3,,8,9,−1,8,,Western Conference,2021,,2.0,,
10.0,Vancouver Whitecaps FC[a],7,2,4,,6,9,−3,7,,Western Conference,2021,,1.0,,
11.0,Austin FC,7,2,4,,5,8,−3,7,,Western Conference,2021,,1.0,,
12.0,Minnesota United FC,7,2,4,,6,11,−5,7,,Western Conference,2021,,1.0,,
13.0,FC Dallas,7,1,3,,8,11,−3,6,,Western Conference,2021,,3.0,,
1.0,Seattle Sounders FC,8,5,0,,14,3,+11,18,Qualification for the CONCACAF Champions League[a],Overall,2021,,3.0,,
2.0,New England Revolution,8,5,1,,11,7,+4,17,,Overall,2021,,2.0,,
3.0,Sporting Kansas City,8,5,2,,15,10,+5,16,,Overall,2021,,1.0,,
4.0,LA Galaxy,7,5,2,,11,11,0,15,,Overall,2021,,0.0,,
5.0,Philadelphia Union,8,4,2,,9,5,+4,14,,Overall,2021,,2.0,,
6.0,Colorado Rapids,7,4,2,,12,8,+4,13,,Overall,2021,,1.0,,
7.0,Orlando City SC,7,3,1,,8,4,+4,12,,Overall,2021,,3.0,,
8.0,New York City FC,7,3,2,,13,7,+6,11,,Overall,2021,,2.0,,
9.0,CF Montréal,8,3,3,,10,9,+1,11,,Overall,2021,,2.0,,
10.0,Columbus Crew,7,3,2,,7,6,+1,11,,Overall,2021,,2.0,,
11.0,Houston Dynamo FC,8,3,3,,11,12,−1,11,,Overall,2021,,2.0,,
12.0,Nashville SC,7,2,0,,9,6,+3,11,,Overall,2021,,5.0,,
13.0,Atlanta United FC,7,2,1,,9,7,+2,10,,Overall,2021,,4.0,,
14.0,San Jose Earthquakes,8,3,5,,11,12,−1,9,,Overall,2021,,0.0,,
15.0,Portland Timbers,7,3,4,,9,11,−2,9,,Overall,2021,,0.0,,
16.0,New York Red Bulls,7,3,4,,10,10,0,9,,Overall,2021,,0.0,,
17.0,D.C. United,8,3,5,,8,11,−3,9,,Overall,2021,,0.0,,
18.0,Real Salt Lake,6,2,1,,9,7,+2,9,,Overall,2021,,3.0,,
19.0,Los Angeles FC,7,2,3,,8,9,−1,8,,Overall,2021,,2.0,,
20.0,Inter Miami CF,8,2,4,,8,13,−5,8,,Overall,2021,,2.0,,
21.0,Vancouver Whitecaps FC,7,2,4,,6,9,−3,7,,Overall,2021,,1.0,,
22.0,Austin FC,7,2,4,,5,8,−3,7,,Overall,2021,,1.0,,
23.0,Minnesota United FC,7,2,4,,6,11,−5,7,,Overall,2021,,1.0,,
24.0,FC Dallas,7,1,3,,8,11,−3,6,,Overall,2021,,3.0,,
25.0,Toronto FC,7,1,4,,8,12,−4,5,,Overall,2021,,2.0,,
26.0,Chicago Fire FC,7,1,5,,4,11,−7,4,,Overall,2021,,1.0,,
27.0,FC Cincinnati,6,1,4,,6,15,−9,4,,Overall,2021,,1.0,,
